id,tweet,label
474abefa36," Plus you guys have IceTV, which I REALLY miss from living there.",negative
028d2cba2d,"I`m always a little sad to see followers I really like, decide to unfollow me.",negative
78c5947dd7," Rest is important, but like everything else don`t over do it.",positive
66208ff50a,My shirt is a fuzz magnet today and I feel totally uncomfortable,negative
23186e73f2, have an amazing time with your mommas tomorrow! Show them how much they mean to you  Whatever you do they will love it,negative
de0005e444,Next to my birthday- Mother`s Day is my favorite day of the year.  The one day I don`t feel guilty for slacking just a little.   Aaaahh...,positive
a550cb0ff9, Laura elle s`en fou elle don`t like the french fans,negative
bb5bc0bf04,"6:29 pm - ok, let`s go now through #bowman #strategicClock but first.. a break :-0 aargh.. tired",negative
1ee2d8f0e8,watching the original sabrina the teenage witch movie. so different from the series but so rad,positive
f33a16c402,"Mooorning! It`s Friday, and that`s terrific! Smile up!    :-|      :-D",positive
191e25e2be,"trying to learn for my oral exam, but I`m too distracted",negative
379a5f7040,"Efteling was great, had a nice time with family, had dinner.. forget my keys in the car  hmmm! Bless the ANWB! Back in Germany now",positive
12fd67f83a," Bill, absolutely fantastic programme. Loved the `cow bell` bit towards the end.",positive
e19eab5b9e,My new camera... http://tinyurl.com/l8pde3 ... RIP my hot pink Polaroid i733,negative
cdf3da6970,Cleaning + finding stuff to sell. I`m so poor.,negative
25e1b56bb2,"At the doctor`s office, waiting for Dr. Sufka to see me. Tired of being sick  hope everyone else is having better Friday than me.",negative
1d02e9bff4," I am sure every office has them. Men and women with no capacity to realize they should SHUT THE UNHOLY **** UP, Christ",negative
e6bb7b3a91, Hi Sharon Missed you on our x factor last year!!  Come Back!! x,positive
47c71a706c, Hey I bought that Porter Cable 4-piece set.  My new drill has an LED light near the trigger.  Oh I`m so happy.,positive
f69065d1c0,I saw nomes on twitter  but I`m still not waking up,negative
463bcdba09, ohhh that cant be very fun    but hell you manned it up!!   looks like you got some **** done today!!,negative
de3833a81d,Today is lame because I am not in Orlando  I am soooo looking forward to NEXT friday,negative
c67abab6e5,"Just cross `cause I`m stuck twiddling my thumbs now, ugh",negative
d55e51e012,my favourite song tonight is cheer it on by Tokyo Police Club,positive
db306eddc4,"Looks like a beautiful day...and I am off work til Sunday, yay!! No bbq as yet though, gonna have to postpone my invitations",positive
e44c9e3d5a,I`m a new french girl in Twitter! And I speak English very bad,negative
6cf8389b4a, The sweety sat on the table this morning...Just woke up! Very sweet! Oh...btw...I think i`ll be home around 7 pm!!!  ****,positive
a2fcd3e2ff, I have 3 computers all going now.  IE 7 on XP and IE 8 on Vista  all are still NO Shows!,negative
2ffa136acd,_cunning I gotta go to my cousin`s grad party,positive
080116db0a," Hey lady, will you be coming to Canada in the fall? I`d love to see you in concert some time! It`ll be my 1st time!",positive
c1bfea605c,this weekend was a very relaxing one.. i was at my cousin`s place and watch a tv series 'Tru Calling' really cool,positive
1ba21ec741,"So sorry if i`ve been typing wrongly. usually, after i`ve typed something, i wont read. i`ll just press the `enter` button",negative
1af165ffbe,industrial tommorow! oh yeah & I get to go see a bunch of old people go away forever & I will probably cry all over the place.,negative
77350f09c9,"It`s time for school, y`all !1!! HAPPY STARWARS DAY",positive
5008a2b348,Finished new moon! Woo! Now i want the next one...,positive
3ad2079097,Beautiful day on Ocracoke just hope the thunderstorms stay away this afternoon...it`s not looking good,negative
62c9c4f81f,Getting very frustrated by people who don`t know what they want... can`t wait to go home tonight...,negative
cd5d081760,seriously bored without anyone to talk to... but not tired enough for sleep,negative
7635514fab,FANTASTIC week in London but ATROCIOUS 8 hour journey home,positive
eb3d8edd75," i`m just starting it brinn, guess what?? i get my laptop back  but i can`t use the messenger, hate it.",negative
b329d819dd,went to see the dentist. can`t eat and im starving. really sucks.  and ist`s painful.,negative
5125b9b433," I`d love for Nicky Poo and Bri & Howie & Aj, to wish me a happy birthday  please please please please pleaseee guys..",positive
62fd432da8," ITS A BANK HOLIDAY STUPID!! wait, they don`t have bank holidays in America... Okay keep on celebreting",positive
5442b34553,"four shots of novacaine in my mouth  my right cheek is totally numb, booo.",negative
a1612cb824,_cupcakes that busy wowsa .. okay my pizzas gonna be a while  sorry..,negative
c385694b7b, You are `spot on`...I wouldn`t tweet without it!! Thanks for your share tonight.,positive
8bb2ea067c, I hate snood. lol. sorrry  i dont know how people play it!,negative
14823c91a2,"Warhammer 40k: Space Marines `officially` announced, only for 360 and PS3.  No luck for PC gamers",negative
071649bc91,Just found out I can`t drink at this bar! Booo missing e1 at palomino`s! No cheers sad face,negative
cd382d5712,jerk josh! didn`t even come meet me  - im thinking of a number guess ?,negative
1eee3222a9, My Mom is a nurse practitioner&spent entire life devoted to the field.  The good ones deserve to be recognized! I`ll follow her,positive
c785c9e429,OMG! i`m almost done with the last block on this quilt! Just a few hours of work left  i can`t wait to meet my goal,positive
3fb0fa1161, thanks well impressed it`s much better than my last one ! must b the clean living + Gluten free lactose free food,positive
6ccee02afb, lame right?  do u know what dates you`ll be in Cali?,negative
84eea3d90e,Sleepy time! Happy Mothers` Day to current and future moms around the globe!,positive
983945662b,the columbus blue jackes may be movieing to anew city to play at  thats sad news,negative
c8a6bb2681, it`s kind of hard to see a pic of a doggie if the pic doesn`t exist,negative
e45e510516, Gross! haha it was like the tiniest piece ever but i can taste it like i ate the whole onion eww,negative
eebe143e9b," Mmm, comfort junk food. That sounds good. I always preferred Wingstop",positive
1be3837ac6,"_98 ****, that`s my favorite part...lol...ok, i`ll just keep in stock alot then",positive
3ce7b87199," still no class loaders, or even custom assembly loaders",negative
9adff96a3f," I`ve always been pretty athletic, I especially love b-ball. Anyway, yeah I can run",positive
e669acee39, Hello my friend...you found me on GBW? How are you doing? Glad to see you twitter but I have to learn German,positive
865cca6aa3,_I Yeah poor Yao! Hope u had fun looking at the Lakers JerseyZ haha! Enjoy ur time buddy !,positive
f606bc09eb," good luck chan! gue kmrn bawa backpack kosong, quite helping",positive
0fe37769a2," Ahh, your baby is so cute! Happy Mother`s Day!",positive
16e5644603,"_ omg and you never would believe what we did. ahaha, i loved it. but it felt like a movie, but REAL!!",positive
eee5181373, ugh! **** it. Today doesn`t look like it`s going to work  i`m sorry,negative
ccc28871be,just realized i gained 40 pounds in the last year  http://bit.ly/wCr3a,positive
037b1abfd0,  just wanted to say that I <3 ur music(both the scene aesthetic n Danger Radio) Hopefully i will get to see u guys 1 day,positive
4aea4096a2, yay!! we`ll all move!! sorry dh is being Grr...  ****,negative
9ed722766b," You`re not the only one surprised that FreeTDS and UTF-8 don`t 'just work'. But you`ll get it right, eventually.",positive
acd7baeab3," why arent u famous already? lol you have a very adoring fan, that fan would do anything for you hehehe, im you no.1 fan",positive
1b8d31d6b3, have you seen 'The Fifth Element'? makes 'super green' a lot funnier,positive
7e0bd4b60f,_PrintChick exactly! Thats the first time i saw his @ reply to Jon. Never going there again. Oh have fun with d new phone.,positive
64adbd5b1f,OMG!!! am luat examenul la SPSS! Me so happy!,positive
0ea6458418,nomatter how much i sleep am still tired  either going to sleep early or late....,negative
8d6fc46de5," haha hi mum! wow yes, very modern of you. now you just need to get a facebook account! p.s. talk to me by writing ",positive
55692ad465, I realised when I got home that I left mine in your fridge - you`re welcome to have it if you like.,positive
a0d8a9b547,Google Chrome forgot what everything looks like for some reason,negative
6ff167d4df,"Im not doing the hunt, i was in the middle of making it but all my work got erased  sry guys, now i look like a idiot for replying 2 all u",negative
f294664ee8, so sad...sorry to hear that.  She was a sweet dog.,negative
e3e889b440,"has spent the last two weeks attempting to grow a beard (from scratch), but fears it may look a bit rubbish...  http://twitpic.com/66tyb",negative
d2a221697e,"  Yes,  and I hope the show I promoted was clean.....   lol      Bella",positive
865ed306cb,Follow Friday is a bit hard to do when my work kicks in on Fridays,negative
3e86e8f21e,_RachineA oh so you said you good-byes and hugs  my dad left around 4 in the morning so I woke up to an empty house i`m pretty scared.,negative
1d2c43c7a9,"Slept like a log last night, now I`m full of energy",positive
25efb02546, i want to comment but don`t understand what you`re saying,negative
b756279ff8,The $500 I saved on not buying a couch is going towards paying my visit to ER for UTI,positive
1ad041d624," They do! Lilash I`m guessing, right?  Oh and what camera are you using? That is insane quality!",positive
341470296e, they used to have a Book Expo in Canada (Toronto) but the cancelled it this year  #BEAtwittyparty #BEAtwittyparty,negative
e460aabe39,Yesterday was the 1 year anniversary of the best day ever! YAY MCR!!!!,positive
03bab4f229," i think in the end, remembering the poetry and feeling behind something is far more important than the name.",positive
ac05f53862,"  Yeah It Good But dont Click The Red X Because It Shuts It Down But Other Then That Its Good  And When U minimize It , It Goes..",positive
3a707fbda3,home with chocolate and peanut butter. stupid kids on my bus ruined my yearbook,negative
ca0a253612, Really? A good distraction now. I`ll check it right. now.,positive
dfcead7761, I heard from  &  you`re away. I miss you too  Look forward to tweeting with you when you return.,negative
19b38437f4,just got back from the Sing It Loud concert // **** AMAZING,positive
bd140dbc4e,"Just had some strawberries for afternoon snack, I love strawberries!! Gonna make a strawberry smoothie tonight after the gym",positive
b66219e011,Cried Like A Fukn Baby Today Durin Da Senior Show...Ima Miss All My Senior Friends,negative
